c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,5,Don't Starve Together Beta,4/21/2016,$14.99,95% (96%/83%),"$83,286,598.56","5,556,144","±69,194","4,240,636","±60,558",22:28:00,8:06:00
1,10,Starbound,7/22/2016,$14.99,77% (90%/81%),"$40,121,139.73","2,676,527","±48,213","2,592,593","±47,456",52:32:00,25:15:00
1,1,Stardew Valley,2/26/2016,$14.99,98% (97%/88%),"$31,163,055.77","2,078,923","±42,525","1,955,880","±41,254",44:29:00,25:09:00
1,269,Plague Inc: Evolved,2/18/2016,$14.99,90% (94%),"$16,603,148.85","1,107,615","±31,080","1,069,422","±30,541",10:34:00,5:42:00
1,63,No Man's Sky,8/12/2016,$59.99,2% (31%/61%),"$47,923,851.36","798,864","±26,406","786,514","±26,202",24:35:00,15:42:00
1,213,Who's Your Daddy,5/13/2016,$2.49,45% (78%),"$1,768,216.23","710,127","±24,899","679,709","±24,361",3:18:00,1:27:00
1,111,Factorio,2/25/2016,$20,99% (98%),"$14,088,180","704,409","±24,799","686,799","±24,488",60:19:00,24:48:00
1,202,Youtubers Life,5/18/2016,$14.99,52% (81%),"$7,792,476.55","519,845","±21,309","506,123","±21,026",11:27:00,7:34:00
1,192,Scrap Mechanic,1/19/2016,$19.99,56% (83%),"$10,304,845.00","515,500","±21,220","502,921","±20,960",22:20:00,7:49:00
1,121,Astroneer Alpha,12/15/2016,$19.99,77% (90%),"$10,176,829.04","509,096","±21,088","488,970","±20,667",8:32:00,5:53:00
1,345,Slime Rancher,1/14/2016,$19.99,93% (95%),"$9,893,370.84","494,916","±20,793","439,570","±19,597",10:33:00,6:37:00
1,333,RimWorld,7/15/2016,$29.99,95% (96%),"$14,794,516.85","493,315","±20,759","474,562","±20,361",51:49:00,26:12:00
1,85,Planet Explorers,11/8/2016,$24.99,35% (73%),"$6,881,246.40","275,360","±15,514","260,952","±15,103",13:03:00,3:22:00
1,199,Gnomoria,2/23/2016,$14.99,56% (83%),"$4,007,651.45","267,355","±15,287","222,987","±13,962",28:37:00,2:17:00
1,31,Poly Bridge,7/12/2016,$11.99,77% (90%/73%),"$3,202,852.73","267,127","±15,280","257,292","±14,997",8:07:00,3:58:00
1,88,Beast Blaster,3/1/2016,$3.99,20% (62%),"$765,613.17","191,883","±12,952","131,505","±10,723",4:58:00,4:21:00
1,282,Osiris: New Dawn,9/28/2016,$24.99,43% (77%),"$4,503,672.81","180,219","±12,552","170,156","±12,197",9:14:00,5:43:00
1,201,My Summer Car,10/24/2016,$14.99,77% (90%),"$2,293,514.97","153,003","±11,566","150,259","±11,462",14:35:00,7:00:00
1,38,Transport Fever,11/8/2016,$34.99,39% (75%/71%),"$4,505,347.39","128,761","±10,611","123,043","±10,372",36:53:00,19:29:00
1,242,Squirbs,1/6/2016,$4.99,25% (66%),"$515,836.26","103,374","±9,507","65,867","±7,589",3:13:00,3:08:00
1,206,Shoppe Keep,5/20/2016,$9.99,49% (80%),"$923,046.03","92,397","±8,989","89,423","±8,843",6:16:00,3:43:00
1,221,Naval Action,1/21/2016,$39.99,37% (74%),"$3,640,049.76","91,024","±8,922","90,796","±8,910",116:12:00,18:08:00
1,133,Fragmented,4/26/2016,$9.99,13% (55%),"$765,393.84","76,616","±8,185","44,140","±6,213",5:14:00,1:21:00
1,32,Project Highrise,9/8/2016,$19.99,54% (82%/73%),"$1,289,255.05","64,495","±7,510","60,607","±7,280",10:27:00,6:32:00
1,93,Tower Unite,4/8/2016,$14.99,59% (84%),"$922,199.79","61,521","±7,335","59,234","±7,197",20:52:00,6:08:00
1,134,Jalopy,4/22/2016,$12.99,56% (83%),"$793,221.36","61,064","±7,308","57,634","±7,099",5:49:00,2:57:00
1,123,Parkitect,5/5/2016,$17.99,73% (89%),"$1,077,978.79","59,921","±7,239","56,261","±7,014",10:20:00,3:48:00
1,41,Human: Fall Flat,7/22/2016,$14.99,80% (91%/70%),"$795,354.41","53,059","±6,812","48,028","±6,481",6:50:00,3:42:00
1,105,Blueprint Tycoon,5/13/2016,$2.99,52% (81%),"$153,177.70","51,230","±6,693","43,454","±6,164",3:20:00,1:17:00
1,19,Crashlands,1/21/2016,$14.99,77% (90%/78%),"$747,371.42","49,858","±6,603","46,656","±6,388",15:06:00,6:57:00
1,227,Crea,6/9/2016,$14.99,45% (78%),"$733,655.57","48,943","±6,542","47,571","±6,450",12:40:00,6:23:00
1,211,Gloria Victis,6/9/2016,$19.99,23% (65%),"$873,223.17","43,683","±6,181","40,709","±5,967",19:29:00,4:59:00
1,342,Space Pirates and Zombies 2,5/17/2016,$19.99,56% (83%),"$864,067.75","43,225","±6,148","40,481","±5,950",15:58:00,9:47:00
1,220,Block'hood,3/9/2016,$9.99,52% (81%),"$381,558.06","38,194","±5,779","34,534","±5,496",2:33:00,1:05:00
1,294,Modbox,4/5/2016,$19.99,83% (92%),"$731,494.07","36,593","±5,657","12,121","±3,256",1:09:00,0:37:00
1,318,Niche - a genetics survival game,9/15/2016,$18.99,87% (93%),"$603,692.10","31,790","±5,273","29,960","±5,119",12:00:00,7:14:00
1,246,Habitat,1/26/2016,$14.99,13% (55%),"$466,248.96","31,104","±5,215","26,987","±4,858",2:01:00,0:48:00
1,81,Better Late Than Dead,3/3/2016,$14.99,5% (39%),"$452,533.11","30,189","±5,138","18,068","±3,975",0:58:00,0:28:00
1,309,The Last Leviathan,6/22/2016,$9.99,67% (87%),"$299,300.40","29,960","±5,119","27,673","±4,919",4:47:00,1:50:00
1,355,Chunks,4/11/2016,$19.99,N/A (N/A),"$502,888.43","25,157","±4,690","4,803","±2,049",7:59:00,0:38:00
1,193,Feel The Snow,10/14/2016,$8.99,87% (93%),"$209,718.72","23,328","±4,517","21,727","±4,359",4:34:00,2:23:00
1,68,Clockwork Empires,10/26/2016,$29.99,21% (63%/58%),"$672,165.87","22,413","±4,427","21,727","±4,359",14:26:00,6:01:00
1,157,Frozen State,8/5/2016,$11.99,43% (77%),"$227,594.18","18,982","±4,074","15,323","±3,661",3:55:00,1:06:00
1,162,Dungeon Rushers,9/6/2016,$14.99,43% (77%),"$267,406.61","17,839","±3,950","16,695","±3,821",8:12:00,4:25:00
1,315,Force of Nature,12/13/2016,$7.99,52% (81%),"$138,882.18","17,382","±3,899","16,467","±3,795",9:01:00,4:20:00
1,373,Theme Park Studio,12/2/2016,$29.99,16% (58%),"$521,286.18","17,382","±3,899","16,924","±3,847",6:23:00,2:02:00
1,86,Screeps,11/16/2016,$14.99,77% (90%),"$253,690.76","16,924","±3,847","15,552","±3,688",79:27:00,16:44:00
1,115,Planet Centauri,6/3/2016,$14.99,56% (83%),"$250,258.05","16,695","±3,821","16,009","±3,742",7:59:00,5:10:00
1,327,CHKN,4/1/2016,$14.99,52% (81%),"$250,258.05","16,695","±3,821","16,467","±3,795",6:27:00,2:26:00
1,248,Moonstone Tavern,5/13/2016,$7.99,2% (31%),"$131,571.33","16,467","±3,795","11,207","±3,130",3:13:00,3:15:00
1,142,Niffelheim,4/28/2016,$19.99,45% (78%),"$320,019.91","16,009","±3,742","14,408","±3,550",12:00:00,6:22:00
1,274,Stellar Overload,10/11/2016,$19.99,64% (86%),"$310,884.48","15,552","±3,688","12,579","±3,317",4:13:00,2:13:00
1,76,WayOut,11/4/2016,$0.49,83% (92%),"$7,172.13","14,637","±3,578","8,691","±2,757",1:05:00,0:55:00
1,78,Judgment: Apocalypse Survival Simulaiton,4/11/2016,$14.99,61% (85%),"$219,408.63","14,637","±3,578","13,036","±3,376",7:33:00,3:50:00
1,89,Balrum,2/29/2016,$14.99,39% (75%),"$212,558.20","14,180","±3,521","12,579","±3,317",11:00:00,4:16:00
1,262,KWAAN,1/21/2016,$9.99,30% (70%),"$125,664.21","12,579","±3,317","5,031","±2,097",3:45:00,1:25:00
1,338,Evochron Legacy,1/18/2016,$24.99,47% (79%),"$308,626.50","12,350","±3,286","10,749","±3,066",14:10:00,4:26:00
1,232,Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,1/26/2016,$6.99,N/A (N/A),"$84,725.79","12,121","±3,256","1,830","±1,265",7:39:00,12:05:00
1,249,24 Hours 'til Rescue,2/19/2016,$3.99,N/A (N/A),"$47,453.07","11,893","±3,225",915,±894,2:21:00,3:07:00
1,135,Life in Bunker,2/25/2016,$15.99,17% (59%),"$182,845.65","11,435","±3,162","10,292","±3,000",5:15:00,3:43:00
1,340,Home Improvisation,7/28/2016,$9.99,30% (70%),"$107,382.51","10,749","±3,066","10,749","±3,066",1:32:00,0:52:00
1,170,UnReal World,2/26/2016,$10.99,95% (96%),"$110,592.37","10,063","±2,966","8,919","±2,793",22:16:00,1:24:00
1,285,5089: The Action RPG,2/3/2016,$7.99,80% (91%),"$78,573.66","9,834","±2,932","8,462","±2,720",4:40:00,2:13:00
1,79,Garbage Day,1/18/2016,$14.99,6% (43%),"$143,993.94","9,606","±2,898","9,377","±2,863",3:10:00,1:50:00
1,235,The Mims Beginning,5/18/2016,$19.99,43% (77%),"$192,023.94","9,606","±2,898","7,319","±2,530",7:36:00,4:18:00
1,259,Maximum Override,1/25/2016,$6.99,41% (76%),"$65,545.23","9,377","±2,863","8,233","±2,683",2:24:00,1:20:00
1,321,Space Rogue,9/15/2016,$19.99,28% (68%),"$187,446.23","9,377","±2,863","8,691","±2,757",13:46:00,6:27:00
1,326,StarsOne,4/8/2016,$9.99,47% (79%),"$79,969.95","8,005","±2,646","7,547","±2,569",9:55:00,9:29:00
1,254,Unclaimed World,10/4/2016,$18.99,26% (67%),"$143,317.53","7,547","±2,569","7,090","±2,490",4:55:00,3:32:00
1,258,Pierhead Arcade,9/21/2016,$9.99,90% (94%),"$68,541.39","6,861","±2,449","6,404","±2,366",1:31:00,1:12:00
1,328,Microcosmum: survival of cells - Colors for organisms,1/22/2016,$0.99,N/A (N/A),"$6,792.39","6,861","±2,449",0,±0,0:00:00,0:00:00
1,292,Mini Thief,6/13/2016,$1.99,61% (85%),"$12,288.25","6,175","±2,324","3,659","±1,789",3:05:00,1:45:00
1,300,Sorcerer King - Rivals,9/22/2016,$29.99,28% (68%),"$178,320.54","5,946","±2,280","4,117","±1,897",13:02:00,13:09:00
1,169,Doodle Kingdom,6/9/2016,$1.99,N/A (N/A),"$11,378.82","5,718","±2,236","2,973","±1,612",6:01:00,4:21:00
1,179,Islet Online,2/1/2016,$24.99,52% (81%),"$137,170.11","5,489","±2,191","5,489","±2,191",30:33:00,17:32:00
1,194,Junk Jack,11/30/2016,$14.99,67% (87%),"$75,414.69","5,031","±2,097","4,574","±2,000",6:09:00,3:48:00
1,151,Shadows of Kurgansk,12/15/2016,$14.99,39% (75%),"$71,996.97","4,803","±2,049","3,659","±1,789",2:07:00,2:09:00
1,185,SparkDimension,10/4/2016,$9.99,N/A (N/A),"$47,981.97","4,803","±2,049",457,±632,3:02:00,2:01:00
1,275,Aurora Dusk: Steam Age,4/28/2016,$9.99,61% (85%),"$47,981.97","4,803","±2,049","4,574","±2,000",6:17:00,4:06:00
1,317,Wild Terra Online,12/16/2016,$14.99,23% (65%),"$71,996.97","4,803","±2,049","4,574","±2,000",16:51:00,16:21:00
1,356,Clumsy Moose Season,3/2/2016,$3.99,N/A (N/A),"$18,250.26","4,574","±2,000",457,±632,0:16:00,0:10:00
1,223,Rencounter,11/4/2016,$2.99,30% (70%),"$12,309.83","4,117","±1,897","2,973","±1,612",7:33:00,7:28:00
1,267,Stellar Tactics,9/22/2016,$19.99,52% (81%),"$82,298.83","4,117","±1,897","3,659","±1,789",14:38:00,9:24:00
1,141,Dream Car Racing 3D,9/22/2016,$14.99,100% (100%),"$58,281.12","3,888","±1,844","3,659","±1,789",10:48:00,7:28:00
1,180,Void Destroyer 2,9/22/2016,$14.99,87% (93%),"$54,848.41","3,659","±1,789","2,744","±1,549",3:53:00,6:14:00
1,77,Ant Queen,6/17/2016,$8.99,12% (53%),"$30,844.69","3,431","±1,732","3,202","±1,673",5:03:00,4:00:00
1,96,Vilmonic,6/15/2016,$9.99,N/A (N/A),"$34,275.69","3,431","±1,732",915,±894,0:48:00,1:01:00
1,230,Polynomial 2,5/31/2016,$11.99,N/A (N/A),"$41,137.69","3,431","±1,732","3,431","±1,732",1:28:00,0:38:00
1,122,SWORDY,7/21/2016,$14.99,N/A (N/A),"$47,997.98","3,202","±1,673","2,516","±1,483",0:47:00,0:58:00
1,189,Cubic,4/5/2016,$19.99,17% (59%),"$60,469.75","3,025","±1,973","2,353","±1,740",0:38:00,0:44:00
1,353,Anyland,10/6/2016,$11.99,98% (97%),"$35,646.27","2,973","±1,612","2,058","±1,341",39:07:00,3:36:00
1,131,Alchemist's Awakening,3/21/2016,$15.99,28% (68%),"$43,876.56","2,744","±1,549","2,516","±1,483",3:05:00,3:07:00
1,204,XNemesis SandBox,6/7/2016,$2.99,N/A (N/A),"$8,204.56","2,744","±1,549","1,601","±1,183",3:58:00,4:19:00
1,94,The Space Garden,10/3/2016,$4.99,N/A (N/A),"$12,554.84","2,516","±1,483","1,830","±1,265",2:08:00,2:55:00
1,132,The Sandbox Evolution,11/15/2016,$9.99,49% (80%),"$25,134.84","2,516","±1,483","1,601","±1,183",1:17:00,2:11:00
1,257,Star Rangers,7/6/2016,$11.99,5% (41%),"$30,166.84","2,516","±1,483","2,058","±1,341",2:28:00,2:06:00
1,276,Samphi,3/18/2016,$4.99,N/A (N/A),"$12,554.84","2,516","±1,483","1,601","±1,183",3:16:00,4:50:00
1,113,CyberThreat,8/18/2016,$14.99,67% (87%),"$34,282.13","2,287","±1,414","2,058","±1,341",0:32:00,0:41:00
1,150,Shards of Azuria,10/12/2016,$4.99,N/A (N/A),"$10,269.42","2,058","±1,341","1,372","±1,095",1:44:00,1:43:00
1,348,Brick Inventions,3/23/2016,$4.99,N/A (N/A),"$9,131.70","1,830","±1,265","1,830","±1,265",2:03:00,4:00:00
1,160,GravLab - Gravitational Testing Facility & Observations,10/20/2016,$14.99,N/A (N/A),"$23,998.99","1,601","±1,183","1,144","±1,000",0:51:00,1:08:00
1,319,Combat Air Patrol 2,6/6/2016,$29.99,20% (62%),"$48,013.99","1,601","±1,183","1,372","±1,095",1:07:00,1:22:00
1,299,Rogalia,12/9/2016,$11.99,59% (84%),"$16,450.28","1,372","±1,095","1,144","±1,000",6:01:00,7:41:00
1,168,Factory Engineer,9/9/2016,$9.99,N/A (N/A),"$11,428.56","1,144","±1,000",915,±894,5:38:00,7:12:00
1,231,Puzzle Box,4/22/2016,$9.99,N/A (N/A),"$11,428.56","1,144","±1,000",457,±632,1:10:00,0:46:00
1,106,Divergence: Online,1/6/2016,$19.99,26% (67%),"$20,149.92","1,008","±1,139",672,±930,1:36:00,1:04:00
1,167,Deisim,12/19/2016,$7.99,N/A (N/A),"$7,310.85",915,±894,915,±894,0:53:00,1:09:00
1,268,Galactineers,3/25/2016,$9.99,N/A (N/A),"$9,140.85",915,±894,229,±447,0:44:00,0:14:00
1,335,Satellite Command,12/16/2016,$12.99,N/A (N/A),"$11,885.85",915,±894,686,±774,4:20:00,3:53:00
1,334,Lonelyland VR,11/9/2016,$14.99,N/A (N/A),"$9,743.50",650,"±1,273",650,"±1,273",0:20:00,0:20:00
